citekey,domain,grader,paper,fig,pass_pct,score,grader_id
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,60,1
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,64,2
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,65,3
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,70,4
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,72,5
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,75,6
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,78,7
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,78,8
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,79,9
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,79,10
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,80,11
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,80,12
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,81,13
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,81,14
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,81,15
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,81,16
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,81,17
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,82,18
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,82,19
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,82,20
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,82,21
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,83,22
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,83,23
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,84,24
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,84,25
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,84,26
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,84,27
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,84,28
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,85,29
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,85,30
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,85,31
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,85,32
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,86,33
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,86,34
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,86,35
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,87,36
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,87,37
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,87,38
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,87,39
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,87,40
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,87,41
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,87,42
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,88,43
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,88,44
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,88,45
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,88,46
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,88,47
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,89,48
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,89,49
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,89,50
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,89,51
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,89,52
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,90,53
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,90,54
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,90,55
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,90,56
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,90,57
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,90,58
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,90,59
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,90,60
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,91,61
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,91,62
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,91,63
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,91,64
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,91,65
@starchReliabilityGradingHighSchool1912,Writing,Teacher,A,1,75,91,66
